id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
19063	Emmet County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19065	Fayette County	IA16	IA	16	Upper Explorerland Regional Planning Commission	0	#N/A	 #987981
19067	Floyd County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19069	Franklin County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19071	Fremont County	IA15	IA	15	Southwest Iowa Planning Council	0	#N/A	#F5F6FA
19073	Greene County	IA11	IA	11	Region XII Council of Governments	0	#N/A	#D0A5B1
19079	Hamilton County	IA07	IA	07	MIDAS Council of Governments	0	#N/A	#30212E
19081	Hancock County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19083	Hardin County	IA10	IA	10	Region 6 Planning Commission	0	#N/A	#404143
19087	Henry County	IA13	IA	13	Southeast Iowa Regional Planning Commission	0	#N/A	#D5E3ED
19089	Howard County	IA16	IA	16	Upper Explorerland Regional Planning Commission	0	#N/A	 #987981
19091	Humboldt County	IA07	IA	07	MIDAS Council of Governments	0	#N/A	#30212E
19093	Ida County	IA12	IA	12	Siouxland Interstate Metropolitan Planning Council	0	#N/A	#DAC0D6
19095	Iowa County	IA05	IA	05	East Central Iowa Council of Governments	0	#N/A	#E9ECF5
19097	Jackson County	IA04	IA	04	East Central Intergovernmental Association	0	#N/A	#CCD6EB
19099	Jasper County	IA99	IA	99	none	0	#N/A	#A9ACB3
19101	Jefferson County	IA01	IA	01	Area 15 Regional Planning Commission	0	#N/A	#993955
19107	Keokuk County	IA01	IA	01	Area 15 Regional Planning Commission	0	#N/A	#993955
19109	Kossuth County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19111	Lee County	IA13	IA	13	Southeast Iowa Regional Planning Commission	0	#N/A	#D5E3ED
19115	Louisa County	IA13	IA	13	Southeast Iowa Regional Planning Commission	0	#N/A	#D5E3ED
19117	Lucas County	IA03	IA	03	Chariton Valley Planning & Development Council of Governments	0	#N/A	#A3C3D9
19119	Lyon County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19123	Mahaska County	IA01	IA	01	Area 15 Regional Planning Commission	0	#N/A	#993955
19125	Marion County	IA99	IA	99	none	0	#N/A	#A9ACB3
19127	Marshall County	IA10	IA	10	Region 6 Planning Commission	0	#N/A	#404143
19131	Mitchell County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19133	Monona County	IA12	IA	12	Siouxland Interstate Metropolitan Planning Council	0	#N/A	#DAC0D6
19135	Monroe County	IA03	IA	03	Chariton Valley Planning & Development Council of Governments	0	#N/A	#A3C3D9
19137	Montgomery County	IA15	IA	15	Southwest Iowa Planning Council	0	#N/A	#F5F6FA
19139	Muscatine County	IA02	IA	02	Bi-State Regional Commission	0	#N/A	#AE76A6
19141	O'Brien County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19143	Osceola County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19145	Page County	IA15	IA	15	Southwest Iowa Planning Council	0	#N/A	#F5F6FA
19147	Palo Alto County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19151	Pocahontas County	IA07	IA	07	MIDAS Council of Governments	0	#N/A	#30212E
19157	Poweshiek County	IA10	IA	10	Region 6 Planning Commission	0	#N/A	#404143
19159	Ringgold County	IA14	IA	14	Southern Iowa Council of Governments	0	#N/A	#E7ECF5
19161	Sac County	IA11	IA	11	Region XII Council of Governments	0	#N/A	#D0A5B1
19165	Shelby County	IA15	IA	15	Southwest Iowa Planning Council	0	#N/A	#F5F6FA
19167	Sioux County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19171	Tama County	IA05	IA	05	East Central Iowa Council of Governments	0	#N/A	#E9ECF5
19173	Taylor County	IA14	IA	14	Southern Iowa Council of Governments	0	#N/A	#E7ECF5
19175	Union County	IA14	IA	14	Southern Iowa Council of Governments	0	#N/A	#E7ECF5
19177	Van Buren County	IA01	IA	01	Area 15 Regional Planning Commission	0	#N/A	#993955
19179	Wapello County	IA01	IA	01	Area 15 Regional Planning Commission	0	#N/A	#993955
19185	Wayne County	IA03	IA	03	Chariton Valley Planning & Development Council of Governments	0	#N/A	#A3C3D9
19187	Webster County	IA07	IA	07	MIDAS Council of Governments	0	#N/A	#30212E
19189	Winnebago County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19191	Winneshiek County	IA16	IA	16	Upper Explorerland Regional Planning Commission	0	#N/A	 #987981
19195	Worth County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19197	Wright County	IA07	IA	07	MIDAS Council of Governments	0	#N/A	#30212E
20001	Allen County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20003	Anderson County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20005	Atchison County	MO06	MO	06	Mo-Kan Regional Council	0	#N/A	#2A1018
20007	Barber County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20009	Barton County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20011	Bourbon County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20013	Brown County	KS99	KS	99	None	0	#N/A	#383B41
20017	Chase County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20019	Chautauqua County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20021	Cherokee County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20023	Cheyenne County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20025	Clark County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20027	Clay County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20029	Cloud County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20031	Coffey County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20033	Comanche County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20035	Cowley County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20037	Crawford County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20039	Decatur County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20041	Dickinson County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20047	Edwards County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20049	Elk County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20051	Ellis County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20053	Ellsworth County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20055	Finney County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20057	Ford County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20059	Franklin County	KS99	KS	99	None	0	#N/A	#383B41
20061	Geary County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20063	Gove County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20065	Graham County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20067	Grant County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20069	Gray County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20071	Greeley County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20073	Greenwood County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20075	Hamilton County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20077	Harper County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20081	Haskell County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20083	Hodgeman County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20089	Jewell County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20093	Kearny County	KS99	KS	99	Great Plains Development Inc	0	#N/A	#383B41
